Brand,Phone_Model,Name,Price,Original_Price,Discount,Rating,RAM_GB,ROM_GB,Processor,Display_Size_inch,Display_Type,Battery_mAh,Processor,Warranty_Years,Specs,Price_Tier
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Grey, 128 GB)",27999,32940.0,15,4.5,8.0,128.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,8 GB RAM | 128 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Nothing,Nothing Phone,"Nothing Phone (3) (White, 256 GB)",79999,84209.47,5,4.4,12.0,256.0,8s Gen 4 Mobile Platform Processor,6.67,Full HD+,5500.0,8s Gen 4 Mobile Platform Processor,1.0,12 GB RAM | 256 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty,High Range
Motorola,MOTOROLA g05,"MOTOROLA g05 (Forest Green, 64 GB)",6999,9998.57,30,4.2,4.0,64.0,Helio G81 Processor,6.67,HD+,5100.0,Helio G81 Processor,1.0,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 16.94 cm (6.67 inch) HD+ Display; 50MP Rear Camera | 8MP Front Camera; 5100 mAh Battery; Helio G81 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories,Budget
Ai+,Ai+ Pulse,"Ai+ Pulse (Pink, 64 GB)",5499,7969.57,31,4.3,4.0,64.0,T615 Processor,6.745,HD+,5000.0,T615 Processor,1.0,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 17.13 cm (6.745 inch) HD+ Display; 50MP Rear Camera | 5MP Front Camera; 5000 mAh Battery; T615 Processor; 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,Budget
Samsung,Samsung Galaxy F06 5G,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",8999,15252.54,41,4.2,6.0,128.0,Dimensity 6300 Processor,6.7,HD+,5000.0,Dimensity 6300 Processor,1.0,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB; 17.02 cm (6.7 inch) HD+ Display; 50MP + 2MP | 8MP Front Camera; 5000 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Budget
Samsung,Samsung Galaxy F06 5G,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",7999,13791.38,42,4.1,4.0,128.0,Dimensity 6300 Processor,6.7,HD+,5000.0,Dimensity 6300 Processor,1.0,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB; 17.02 cm (6.7 inch) HD+ Display; 50MP + 2MP | 8MP Front Camera; 5000 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Budget
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Black, 128 GB)",27999,32940.0,15,4.5,8.0,128.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,8 GB RAM | 128 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Realme,realme P3 Ultra 5G,"realme P3 Ultra 5G (Neptune Blue, 128 GB)",19999,31744.44,37,4.4,8.0,128.0,Dimensity 8350 Ultra Processor,6.83,Full HD+,6000.0,Dimensity 8350 Ultra Processor,1.0,8 GB RAM | 128 GB ROM; 17.35 cm (6.83 inch) Display; 50MP + 8MP | 16MP Front Camera; 6000 mAh Battery; Dimensity 8350 Ultra Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid Range
Poco,POCO C71,"POCO C71 (Desert Gold, 64 GB)",6199,8984.06,31,3.9,4.0,64.0,Unisoc T7250 Max clock speed:  2 x A75@1.8GHz 6 x A55@1.6GHz Processor,6.88,HD+,5200.0,Unisoc T7250 Max clock speed:  2 x A75@1.8GHz 6 x A55@1.6GHz Processor,1.0,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",Budget
Samsung,Samsung Galaxy F06 5G,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",7499,12498.33,40,4.1,4.0,64.0,Dimensity 6300 Processor,6.7,HD+,5000.0,Dimensity 6300 Processor,1.0,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB; 17.02 cm (6.7 inch) HD+ Display; 50MP + 2MP | 8MP Front Camera; 5000 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Budget
Nothing,Nothing Phone,"Nothing Phone (3) (Black, 512 GB)",89999,94735.79,5,4.4,16.0,512.0,8s Gen 4 Mobile Platform Processor,6.67,Full HD+,5500.0,8s Gen 4 Mobile Platform Processor,1.0,16 GB RAM | 512 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty,High Range
Samsung,Samsung Galaxy S24 5G Snapdragon,"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)",39999,74072.22,46,4.6,8.0,128.0,8 Gen 3 Processor,6.2,Full HD+,4000.0,8 Gen 3 Processor,1.0,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Poco,POCO C71  - Locked with Airtel Prepaid,"POCO C71  - Locked with Airtel Prepaid (Power Black, 64 GB)",5599,8887.3,37,3.9,4.0,64.0,Unisoc T7250 Max clock speed:  2 x A75@1.8GHz 6 x A55@1.6GHz Processor,6.88,HD+,5200.0,Unisoc T7250 Max clock speed:  2 x A75@1.8GHz 6 x A55@1.6GHz Processor,1.0,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",Budget
Motorola,MOTOROLA G96 5G,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",15999,20777.92,23,4.4,8.0,128.0,7s Gen 2 Processor,6.67,Full HD+,5500.0,7s Gen 2 Processor,1.0,8 GB RAM | 128 GB ROM; 16.94 cm (6.67 inch) Full HD+ Display; 50MP + 8MP | 32MP Front Camera; 5500 mAh Battery; 7s Gen 2 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories,Mid Range
Poco,POCO C75 5G,"POCO C75 5G (Aqua Bliss, 128 GB)",8099,11407.04,29,4.2,4.0,128.0,4s Gen 2 5G Processor,6.88,HD+,5160.0,4s Gen 2 5G Processor,1.0,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.48 cm (6.88 inch) HD+ Display; 50MP Rear Camera | 5MP Front Camera; 5160 mAh Battery; 4s Gen 2 5G Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Budget
Poco,POCO F7 5G,"POCO F7 5G (Phantom Black, 256 GB)",30999,35631.03,13,4.4,12.0,256.0,8s Gen 4 Processor,6.83,OLED,7550.0,8s Gen 4 Processor,1.0,"12 GB RAM | 256 GB ROM; 17.35 cm (6.83 inch) Display; 50MP Rear Camera | 20MP Front Camera; 7550 mAh Li-Polymer + Silicon Carbon Battery; 8s Gen 4 Processor; Rear Camera
-50MP Sony Main Camera
-8MP Ultra-wide Camera with night mode and ultra-wide video recording; Front camera
-20MP with Portrait Mode | | Front Video Recording | Night Mode; Display
-6.83 inch 1.5K pOLED with 120 Hz refresh rate; Battery
7550mAh, 90W charger, 22.5W reverse charging; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",Mid Range
Nothing,Nothing Phone,"Nothing Phone (3) (White, 256 GB)",79999,84209.47,5,4.4,12.0,256.0,8s Gen 4 Mobile Platform Processor,6.67,Full HD+,5500.0,8s Gen 4 Mobile Platform Processor,1.0,12 GB RAM | 256 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty,High Range
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Grey, 128 GB)",27999,32940.0,15,4.5,8.0,128.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,8 GB RAM | 128 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Realme,realme P4 5G,"realme P4 5G (Engine Blue, 128 GB)",16999,20986.42,19,4.4,6.0,128.0,Mediatek Dimensity 7400 Processor,6.77,Full HD+,7000.0,Mediatek Dimensity 7400 Processor,1.0,6 GB RAM | 128 GB ROM; 17.2 cm (6.77 inch) Display; 50MP + 8MP | 16MP Front Camera; 7000 mAh Battery; Mediatek Dimensity 7400 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid Range
Realme,realme 15T 5G,"realme 15T 5G (Flowing Silver, 128 GB)",20999,22825.0,8,4.3,8.0,128.0,MediaTek Dimensity 6400 MAX Processor,6.57,Full HD,7000.0,MediaTek Dimensity 6400 MAX Processor,1.0,8 GB RAM | 128 GB ROM; 16.69 cm (6.57 inch) Full HD Display; 50MP + 2MP | 50MP Front Camera; 7000 mAh Battery; MediaTek Dimensity 6400 MAX Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid Range
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Black, 128 GB)",27999,32940.0,15,4.5,8.0,128.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,8 GB RAM | 128 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Grey, 256 GB)",31999,36780.46,13,4.5,12.0,256.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,12 GB RAM | 256 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Poco,POCO M7 5G,"POCO M7 5G (Ocean Blue, 128 GB)",8499,12877.27,34,4.1,6.0,128.0,4 Gen 2 5G Processor,6.88,HD+,5160.0,4 Gen 2 5G Processor,1.0,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.48 cm (6.88 inch) HD+ Display; 50MP Rear Camera | 8MP Front Camera; 5160 mAh Battery; 4 Gen 2 5G Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Budget
Realme,realme 15x 5G,"realme 15x 5G (Marine Blue, 128 GB)",17999,19998.89,10,4.5,8.0,128.0,Dimensity 6300 6nm Octa-core chipset Processor,6.8,Full HD+,7000.0,Dimensity 6300 6nm Octa-core chipset Processor,1.0,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.27 cm (6.8 inch) Display; 50MP Rear Camera | 50MP Front Camera; 7000 mAh Battery; Dimensity 6300 6nm Octa-core chipset Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid Range
Motorola,MOTOROLA g35 5G,"MOTOROLA g35 5G (Leaf Green, 128 GB)",8999,12498.61,28,4.2,4.0,128.0,T760 Processor,6.72,Full HD+,5000.0,T760 Processor,1.0,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.07 cm (6.72 inch) Full HD+ Display; 50MP + 8MP | 16MP Front Camera; 5000 mAh Battery; T760 Processor; 12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology; 1 Year on Handset and 6 Months on Accessories,Budget
Vivo,vivo T4x 5G,"vivo T4x 5G (Pronto Purple, 128 GB)",13499,17998.67,25,4.4,6.0,128.0,Dimensity 7300 5G Processor,6.72,Full HD+,6500.0,Dimensity 7300 5G Processor,1.0,6 GB RAM | 128 GB ROM; 17.07 cm (6.72 inch) Display; 50MP + 2MP | 8MP Front Camera; 6500 mAh Battery; Dimensity 7300 5G Processor; 1 Year Warranty for Device and 6 Months Warranty for Accessories,Budget
Samsung,Samsung Galaxy S24 5G Snapdragon,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)",39999,74072.22,46,4.6,8.0,128.0,8 Gen 3 Processor,6.2,Full HD+,4000.0,8 Gen 3 Processor,1.0,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Nothing,Nothing Phone,"Nothing Phone (3) (Black, 512 GB)",89999,94735.79,5,4.4,16.0,512.0,8s Gen 4 Mobile Platform Processor,6.67,Full HD+,5500.0,8s Gen 4 Mobile Platform Processor,1.0,16 GB RAM | 512 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty,High Range
Samsung,Samsung Galaxy F06 5G,"Samsung Galaxy F06 5G (Lit Violet, 64 GB)",7499,12498.33,40,4.1,4.0,64.0,Dimensity 6300 Processor,6.7,HD+,5000.0,Dimensity 6300 Processor,1.0,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB; 17.02 cm (6.7 inch) HD+ Display; 50MP + 2MP | 8MP Front Camera; 5000 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Budget
Motorola,Motorola g45 5G,"Motorola g45 5G (Brilliant Blue, 128 GB)",11999,14998.75,20,4.3,8.0,128.0,Snapdragon 6s Gen 3 Processor,6.5,HD+,5000.0,Snapdragon 6s Gen 3 Processor,1.0,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 16.51 cm (6.5 inch) HD+ Display; 50MP + 2MP | 16MP Front Camera; 5000 mAh Battery; Snapdragon 6s Gen 3 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories,Budget
Samsung,Samsung Galaxy S24 5G Snapdragon,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)",39999,74072.22,46,4.6,8.0,128.0,8 Gen 3 Processor,6.2,Full HD+,4000.0,8 Gen 3 Processor,1.0,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Samsung,Samsung Galaxy A35 5G,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)",17999,33960.38,47,4.4,8.0,128.0,Samsung Exynos 1380 Processor,6.6,Full HD+,5000.0,Samsung Exynos 1380 Processor,1.0,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 16.76 cm (6.6 inch) Full HD+ Display; 50MP + 8MP + 5MP | 13MP Front Camera; 5000 mAh Battery; Samsung Exynos 1380 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Samsung,Samsung Galaxy S24 FE 5G,"Samsung Galaxy S24 FE 5G (Graphite, 128 GB)",29999,59998.0,50,4.5,8.0,128.0,Exynos 2400e Processor,6.7,Full HD+,4700.0,Exynos 2400e Processor,1.0,8 GB RAM | 128 GB ROM; 17.02 cm (6.7 inch) Full HD+ Display; 50MP + 12MP | 10MP Front Camera; 4700 mAh Battery; Exynos 2400e Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Poco,POCO M7 Plus 5G,"POCO M7 Plus 5G (Chrome Silver, 128 GB)",11999,16900.0,29,4.3,6.0,128.0,Snapdragon 6s Gen 3 5G Processor,6.9,HD+,7000.0,Snapdragon 6s Gen 3 5G Processor,1.0,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.53 cm (6.9 inch) Display; 50MP AI Dual Camera; 7000 mAh Battery; Snapdragon 6s Gen 3 5G Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Budget
Motorola,MOTOROLA G96 5G,"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)",15999,20777.92,23,4.4,8.0,128.0,7s Gen 2 Processor,6.67,Full HD+,5500.0,7s Gen 2 Processor,1.0,8 GB RAM | 128 GB ROM; 16.94 cm (6.67 inch) Full HD+ Display; 50MP + 8MP | 32MP Front Camera; 5500 mAh Battery; 7s Gen 2 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories,Mid Range
Samsung,Samsung Galaxy S24 FE 5G,"Samsung Galaxy S24 FE 5G (Mint, 128 GB)",29999,59998.0,50,4.5,8.0,128.0,Exynos 2400e Processor,6.7,Full HD+,4700.0,Exynos 2400e Processor,1.0,8 GB RAM | 128 GB ROM; 17.02 cm (6.7 inch) Full HD+ Display; 50MP + 12MP | 10MP Front Camera; 4700 mAh Battery; Exynos 2400e Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Realme,realme P3 Ultra 5G,"realme P3 Ultra 5G (Neptune Blue, 128 GB)",19999,31744.44,37,4.4,8.0,128.0,Dimensity 8350 Ultra Processor,6.83,Full HD+,6000.0,Dimensity 8350 Ultra Processor,1.0,8 GB RAM | 128 GB ROM; 17.35 cm (6.83 inch) Display; 50MP + 8MP | 16MP Front Camera; 6000 mAh Battery; Dimensity 8350 Ultra Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid Range
Samsung,Samsung Galaxy S24 5G Snapdragon,"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)",39999,74072.22,46,4.6,8.0,128.0,8 Gen 3 Processor,6.2,Full HD+,4000.0,8 Gen 3 Processor,1.0,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Nothing,CMF by Nothing Phone 2 Pro,"CMF by Nothing Phone 2 Pro (Light Green, 128 GB)",16999,22971.62,26,4.4,8.0,128.0,Dimensity 7300 Pro 5G Processor,6.77,Full HD+,5000.0,Dimensity 7300 Pro 5G Processor,1.0,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.2 cm (6.77 inch) Display; 50MP + 50MP + 8MP | 16MP Front Camera; 5000 mAh Battery; Dimensity 7300 Pro 5G Processor; 1 Year Manufacturing Warranty,Mid Range
Vivo,vivo T4x 5G,"vivo T4x 5G (Glacial Teal, 128 GB)",14499,19332.0,25,4.4,8.0,128.0,Dimensity 7300 5G Processor,6.72,Full HD+,6500.0,Dimensity 7300 5G Processor,1.0,8 GB RAM | 128 GB ROM; 17.07 cm (6.72 inch) Display; 50MP + 2MP | 8MP Front Camera; 6500 mAh Battery; Dimensity 7300 5G Processor; 1 Year Warranty for Device and 6 Months Warranty for Accessories,Budget
Nothing,Nothing Phone,"Nothing Phone (3) (White, 512 GB)",89999,94735.79,5,4.4,16.0,512.0,8s Gen 4 Mobile Platform Processor,6.67,Full HD+,5500.0,8s Gen 4 Mobile Platform Processor,1.0,16 GB RAM | 512 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty,High Range
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Grey, 256 GB)",29999,34882.56,14,4.5,8.0,256.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,8 GB RAM | 256 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Realme,realme P3 Lite 5G Charger in the Box,"realme P3 Lite 5G Charger in the Box (Lily White, 128 GB)",10499,12961.73,19,4.5,4.0,128.0,Dimensity 6300 Processor,6.67,Full HD+,6000.0,Dimensity 6300 Processor,1.0,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 16.94 cm (6.67 inch) Display; 32MP Rear Camera | 8MP Front Camera; 6000 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Budget
Poco,POCO X7 5G,"POCO X7 5G (Cosmic Silver, 128 GB)",15999,24998.44,36,4.3,8.0,128.0,Dimensity 7300 Ultra Processor,6.67,HD+,5500.0,Dimensity 7300 Ultra Processor,1.0,8 GB RAM | 128 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 8MP + 2MP | 20MP Front Camera; 5500 mAh Battery; Dimensity 7300 Ultra Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Mid Range
